novel_review_id,raw_language_scope,title,description,proposed_tag_count,proposed_tags
nrv_0941679c3f6fbe79a3c47e11,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",狂拽冷少妖嬈妻,弄死個人然後就穿越了！唔，天理報應，因果循環？可是，我想要空調電腦熱水器，老天爺你倒是給我弄來啊！！！,1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_0ba2b9878378160206a113d6,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Revenge Game,"REVENGE GAME
            🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹    
               🌹SEASON 1                🌹
                🌹      CHAPTER 1      🌹  
                 🌹🌹🌹🌹🌹🌹🌹🌹
                        

     The Dining table was all beautifully set and decorated with all of her Husbands favourite Dishes. She made sure they were well prepared by the Chef. This is the night. This night was going to be the night. This night was going to be an amazing one if everything goes according to her plans. She just couldn't wait for her husband to come home.
     What is it they say again? When a woman wants something, she becomes extraordinary sweet. Lolz. Anyways that's it, she wants.... perhaps needs something from her husband tonight. Something so important and special to her. It may seem like something small to anyone but it means the world to her. And tonight she was going to make sure she gets what she wants from him tonight.
       Laura knew her hushand too well. He always gave her whatever she asked for even without making all these effort she's made tonight.
    ""Sara! Sara"" she called out to the house's Chef.
      ""Yes Ma"" the 24 years old lady answered. Her Mistress wasn't so older than her, her pretty madam was just two years older than her.
      ""Is the Juice ready just the way he likes it?"" Laura asked.
      ""Yes Ma.""
     ""Go get it"" Laura ordered and the chef nodded and left for the kitchen. Sara wondered what her Mistress was up to this night. Though it wasn't the first time her Mistress was coming up with such surprises for her husband but tonight's surprise seemed extraordinary. With all the Dishes she was asked to make and the switching off of the lights and bright candles all over the dining table. Whats up?
       Laura looked at the clock again, five minutes to seven pm. He should be on his way home. She picked up her phone and dialed the number with the caller ID 'My Heart' and on the third ring it got connected.
     ""Hey Sunshine"" his sweet loving voice said across the line.
       ""Hi Sugar. Whats up?"" She settled for the sofa in the extra large larvishing living room.
     ""Just rounding up at work""
      ""Baby?"" She was a little upset. Before he left for work this morning, she had told him about their magical night and was expecting he gets home early.
        ""I'm sorry Love. I had so much on my desk but now I'm just rounding up. Just give me forty five minutes and I would be by your side""
        ""You need to be fast Babe""
        ""I know. Just forty five_ opps forty four minutes now.""
She smilled at his silliness ""I'll wait.""
        ""Cool. Love you."" He said
        ""Love you too"" she said and disconnected.
Forty five minutes he said. He was definitely going to get home soon. Its time to get dressed up with the magical dress of the night. 'Always use Men's weakpoint to get what you want from them' her Mum would always say and that Dress, her body...... Finally, after three solid years of planning, its finally time to get what she wanted from her Dear beloved husband. She quickly ran upstairs to get dressed.
      Philip Wondered what surprise his beloved Darling Wife had for him tonight. She was always full of surprises. Two years of their marriage and she always come up with fabulous surprises. This night wasn't going to be any less.
     He just couldn't wait to get home to his Better half. With all the stress he got from work today, that surprise and his wife would make a good stress reliever.
      He sorted everything on his desk out, picked up his cell phone and briefcase and headed out of his office. He stopped by his silly secretary to give her some instructions but she was too busy laughing over a phone call with both of her legs crossed on her desk.
     ""Lola... Lola"" her boss called out but she was too busy laughing. ""Lola!""
She turned to the direction her name was coming from with fright. ""Sir!"" She jumbed up and adjusted her clothes.
      ""You do your job well. I can see that.""he said with a sarcastic tone.
     ""I'm sorry sir"" she apologised
       ""I won't be early tomorrow, cancel my early appointments""
       ""Done sir."" She answered and he left. She let out the breath she's been holding. Thank God for the kind of Boss she has. Even as he saw her in that position he didn't make a fuss out of it. She knew too well not all Bosses were like that for instance Mr Atu the company's HR officer, she knows too well what his secretary go through everyday. She doesn't wish that for herself.
       Philip knew too well that after this awesome night, he won't be coming early to work. The thirty years old CEO walked majestically into the elevator and went for the ground floor. Few of his staffs were still working even when 5pm the normal closing time had passed.
     ""Goodevening Sir"" The few he passed by greeted and as a usual he responded with a nod and sweet smile.
     ""Oh my.... He is so handsome. Sometimes I wonder if Gid created him on a different day"" Zara one of his staffs ",2,ct-v1-chef|chef|厨师|Chef ;; ct-v1-marriage|marriage|婚姻题材|marriage
nrv_0c4d1f95e99a9dd7434de480,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]","CRY OR BETTER YET, BEG","
WARNING! Explicit Content: BDSM and Mature Erotica. Read at Your Own Risk!

""Rape me? It's nothing new. Go ahead and do your wor-""

Her eyes flew open as she gasped for air, her face flushing instantly.

""S-son of a bi-ah... ... ahhh...""
She shut her eyes as her body trembled.

He grinned, wicked and satisfied.

""You can't even curse at me properly. Are you sure you hate me? Your body's sucking in my fingers like it's been starved.""

""That's not true, stop... ahhh...""
She cried out, tossing her head back as drool escaped her lips.

""Stop? You dared me to be my worst. At least have the backbone to endure it. In other words-try not to cum... from the fingers of the man who murdered your parents.""

""You bastard!""
She cried loudly.


-----------------
After her parents were brutally murdered, Aria was stolen away and groomed by a ruthless mafia lord-trained to be both a lethal assassin and a nymphomaniac sex doll.
She has only one mission: revenge.
She'll smile. She'll kneel. She'll obey.
 She'll play the perfect submissive... until the day she finds the man responsible for their deaths- and makes him bleed.
But everything shatters when she finds herself defenseless in the arms of her enemy.
No matter how much she fights, hates, or resists-he won't let her go.
 And worse...
 She's not allowed to die.
She can scream.
 She can cry.
 Hell-she can even beg.
But she will always be his.
 His to own.
 His to claim.
 His to break.


This book is strictly 18+ and contains dark romance elements including:

Non-consensual/Dubious consent scenes. Dangerous obsession. BDSM & psychological manipulation. Explicit sexual content
If these themes disturb you, do not proceed.
Otherwise, dive in...
 and enjoy this sinfully dark, spicy read.

",3,ct-v1-assassin|assassin|刺客|assassin ;; ct-v1-revenge|revenge|复仇|revenge ;; ct-v1-mafia|mafia|黑帮|mafia
nrv_0c5590988a7131447664aa0c,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""11\""]"",[""string"",""印尼""]]",Putri Raja Kasino: Pembalasan,"Namaku Luna Croft. Pacarku, Smith Caldwell, menyebut dirinya ""Raja Kasino"". Setiap kali dia pergi berjudi, dia pulang dengan banyak kemenangan.

Belakangan, aku baru menyadari bahwa dia selalu memilih meja yang sama.

Dan dealer di meja itu adalah gadis impiannya yang tak tergapai, Alice Moore.

""Luna, sekarang aku seorang miliarder. Kamu sudah tidak sebanding denganku, jadi lebih baik kita akhiri saja. Alice adalah cinta sejatiku. Dia membawa keberuntungan dan kebahagiaan dalam hidupku,"" tambahnya dengan penuh keyakinan.

Aku setuju, hanya untuk melihatnya kehilangan setiap sen di meja beberapa saat kemudian.

Dia mendorongku langsung ke tangan para rentenir yang datang menagih utangnya.

""Ini pacarku. Aku menyerahkannya untuk melunasi utangku. Dia yatim piatu. Bahkan meski kalian menghancurkannya, tidak ada yang akan mengejar kalian!""

Staf kasino dan para rentenir mengurungku, tapi aku malah tidak bisa menahan tawaku.

""Suruh bos kalian keluar dan bicara denganku secara langsung,"" ucapku menuntut.",1,ct-v1-werewolf-luna|werewolf-luna|Luna（狼人女首领）|Luna
nrv_112bcf8a034ca9b746a4fffc,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""20\""]"",[""null""]]",天命爲凰：毒醫三小姐,"她是醫毒世家傳人能掌生，可控死，一朝穿越淪落成不能修煉的傻子廢物。
且看她強勢逆襲，凰逆九天。
他是大陸最尊貴的存在，翻手雲，覆手雨，腹黑冷漠，藐視天下，一怒天下變的天尊！
當他遇見她，只是一眼，寵她，護她，助她……
月黑之夜某尊握住了沐清菱的手腕。
「菱兒你看過了本尊的身體，是要負責的……」
「這是施針……天尊」
天尊笑的春風得意，一把將沐清菱扯入懷中直接吻住了脣。",1,ct-v1-time-travel|time-travel|穿越|穿越
nrv_123a5a04af00f6cdef773211,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""6\""]"",[""string"",""法语""]]",Sacrifiée à la Bête: La Compagne sans Loup,"Aujourd'hui, mon père, l'Alpha de notre meute, épousait une femme à peine plus âgée que moi, le jour exact de l'anniversaire de la mort de ma mère.

Lors de la fête, ma nouvelle belle-mère a délibérément brisé le collier de ma mère, mon unique souvenir.

Lorsque j'ai osé me défendre, mon père m'a violemment giflée devant tous les invités.

« Tu apprendras à respecter ta nouvelle Luna. »

J'ai alors publiquement renié cette famille qui m'a toujours traitée comme un déchet parce que j'étais une anomalie : une fille d'Alpha sans loup intérieur.

Pour me faire taire et épargner ma parfaite petite sœur, mon père m'a froidement condamnée à mort.

Il m'a envoyée comme tribut au Roi Lycan de la Montagne Noire, un monstre maudit dont la bête intérieure déchiquette sauvagement toute femelle qui l'approche.

Enfermée dans une cage et envoyée vers ce château cauchemardesque, je n'ai ressenti que de la haine.

Comment mon propre père pouvait-il m'envoyer à l'abattoir avec un tel soulagement ?

Mais avant d'être jetée dans la chambre du Roi, la gouvernante m'a révélé un détail crucial : la folie meurtrière du monstre est déclenchée par l'odeur de l'esprit des louves.

Je n'ai pas de loup intérieur, je n'ai donc absolument aucune odeur.

Poussée dans les ténèbres de l'antre du Roi pour y être massacrée, j'ai attendu le coup fatal, mais le monstre est resté figé dans l'ombre, confus par mon absence d'aura.

C'est à cet instant précis que j'ai su que je n'allais pas mourir, et que la Maison Thorne allait amèrement regretter de m'avoir abandonnée.",2,ct-v1-werewolf-luna|werewolf-luna|Luna（狼人女首领）|Luna ;; ct-v1-werewolf-alpha|werewolf-alpha|Alpha（狼人首领）|Alpha
nrv_12c878cd1fdd130dcb78d754,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",Casamento Por Vingança,"Dylan, um jovem empresário rico e poderoso, fica furioso quando a sua mulher grávida morre num acidente. Para vingar a sua morte, procura o culpado e depara-se com o pai de Darla, uma jovem que a sua mulher tinha ajudado no passado. Dylan decide vingar-se dele, casando com Darla sob contrato, mas a sua relação depressa toma um rumo inesperado, passando do ódio ao amor.
Neste thriller emocionante, descubra como um casamento vingativo pode tornar-se numa intensa e inesquecível história de amor.
""Revenge Marriage é uma história de amor cativante e cheia de suspense.",3,ct-v1-suspense|suspense|悬疑|suspense ;; ct-v1-revenge|revenge|复仇|Revenge ;; ct-v1-marriage|marriage|婚姻题材|Marriage
nrv_132d09a26f3fc6796cd2dd69,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""4\""]"",[""string"",""西语""]]",Hasta el último latido de mi corazón,"Disponible en AMAZON!! SINOPSIS:
Cada latido es una cuenta atrás.
Para Serena Smith, llegar a la Universidad de Houston es un sueño anhelado, su única oportunidad de saborear una vida normal lejos de las miradas compasivas y el aséptico olor de los hospitales. Pero carga con una condena silenciosa: un corazón traicionero que se agota, un músculo vital que amenaza con rendirse en cualquier momento. Su plan es simple: pasar desapercibida, estudiar y aferrarse a cada precioso segundo que le queda.
Pero sus planes se hacen cenizas cuando se cruza con Kaleb Thorne.
Él es la oscuridad que acecha los pasillos del campus, un demonio tatuado de ojos azules como el hielo, cuya posesividad es tan legendaria como peligrosa. Desde el momento en que la ve, decide que será suya, una presa frágil en su mundo de caos y control.
Kaleb no tarda en descubrir el secreto que con tanto esmero Serena protege: la fragilidad que podría costarle la vida. Armado con su condena, le ofrece un pacto envenenado: ella será su novia de cara a su poderosa familia, un ángel a su lado para aplacar a sus propios demonios. A cambio, su secreto permanecerá a salvo en la oscuridad.
Atrapada en una red de mentiras y una atracción que la consume, Serena se encuentra a merced del hombre que podría, literalmente, romperle el corazón. Cada roce es un riesgo, cada beso un desafío a su destino. Kaleb es su tormento y su más adictiva tentación, una fuerza que podría tanto reanimarla como darle el golpe final.
¿Podrá sobrevivir a su posesiva oscuridad el tiempo suficiente para recibir el corazón que la salve? ¿O será Kaleb quien reclame lo que le queda, arrastrándola con él hasta el último latido de su corazón?

ADVERTENCIA
Esto no es un cuento de hadas, es una historia de posesión. Un Dark Romance para lectores maduros.
El protagonista no es un héroe. Sus actos no se romantizan, se exponen en toda su cruda oscuridad.
Este libro contiene:

-Lenguaje y escenas sexuales explícitas.

-Chantaje, manipulación y violencia.

-Temas sensibles sobre enfermedades terminales.

-Un protagonista moralmente ambiguo.

Si buscas un romance convencional, cierra este libro.
Has sido advertido.",2,ct-v1-campus|campus|校园|campus ;; ct-v1-romance|romance|言情|Romance
nrv_138086c1d19a70772dd5b413,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""19\""]"",[""null""]]",重生：傲世狂妃,"她是人人都钦佩的无敌杀手，黑夜暗卫，绝代风华的她为了自己的主人不爱红妆爱武装。
可是，主人成功之际， 竟然是自己血葬之时。
看着那些人狰狞的表情，将自己一遍遍凌辱，她痛恨至极。
自己誓死效忠，倾心相守换来的竟然是这蚀骨的背叛。
心有不甘，她自己掏心掏肺，然后投入江河。 
凤凰涅槃，她满腹仇恨，只为手刃仇人。
重生初遇时，才知道，自己竟然一开始就认错了主人。
那么这一次，自己会比他们还要残忍，还要狠毒，要让那些，凌我欺我之人沦入万劫不复。

只是三皇子殿下，你现在好歹也是皇上了，他们说我妖媚惑主，霸占朝纲，你就一点都没有意见？",1,ct-v1-betrayal|betrayal|背叛|背叛
nrv_13e4707abf52166639ed3129,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""15\""]"",[""string"",""菲律宾语""]]",Rising From Ashes: Ang Heiress na Sinubukan Nilang Burahin,"Lumaki si Maia bilang isang spoiled na tagapagmana-hanggang sa bumalik ang tunay na anak at isinabit siya, pinadala si Maia sa kulungan sa tulong ng kanyang kasintahan at pamilya.

Makalipas ang apat na taon, malaya na at kasal kay Chris, isang kilalang isinumpa, inakala ng lahat na tapos na si Maia. Di nagtagal, natuklasan nilang siya pala ay isang sikat na alahas na tagagawa, dalubhasang hacker, tanyag na chef, at top na game designer.

Habang nagmamakaawa ang dating pamilya niya para sa tulong, ngumingiti ng kalmado si Chris. ""Mahal, umuwi na tayo."" Noon lamang naunawaan ni Maia na ang kanyang ""walang silbi"" na asawa ay isang bantog na negosyante na minahal siya mula pa noong simula.",1,ct-v1-chef|chef|厨师|chef
nrv_159938e783517710c3a9dddb,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Daughter's Revenge,"One night, Stella returned home and found her parents brutally murdered. Together with her sisters, Maria and Gloria, they called the police to seek justice.

Things didnt go as planned when they realized that the police were not genuinely helping them. Feeling betrayed, they decided to rely on themselves.

After much thought, Stella decided to move into the murderers house with her sisters. She had one goal in mind - Revenge!

After moving in, she met other members of the murderers family. The discourteous and inconsiderate daughter & the amiable and charismatic son.

Then, Stella realized that her journey of revenge was not as easy as she had thought.

Love, revenge, betrayal, crime, jealousy and much more, all found in one book. 
Daughters revenge is a must read for everyone!
",2,ct-v1-crime|crime|犯罪|crime ;; ct-v1-betrayal|betrayal|背叛|betrayal
nrv_17e96b9afa1a672796e0c609,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",Tentação pecaminosa: Playboy bilionário implora meu retorno,"Iris cresceu de uma criança órfã para a filha adotiva da família Stewart aos dez anos, encontrando carinho na bondade de seu tio nominal Vincent. 

Sete anos depois, ela se tornou sua amante secreta. Quando o noivado de Vincent foi anunciado, os boatos se espalharam sobre o CEO mulherengo finalmente se estabelecendo. 

Mas apenas Iris conhecia a extensão de sua natureza fria e dissimulada. Iris se apaixonou por Vincent e, em meio às lágrimas, implorou: ""Case-se comigo,""  apenas para ser recebida com sua recusa gélida. 

Derrotada, ela aceitou a proposta de um advogado, causando alvoroço público. Então, no dia de seu casamento, Vincent suplicou desesperadamente: ""Não se case com ele...""",1,ct-v1-wealthy-ceo|wealthy-ceo|豪门总裁|CEO
nrv_186259adfded1f9a90cc0d40,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""3\""]"",[""string"",""英语""]]",Valentina's Revenge ,"
""Just do it. Please."" I begged, I was desperate and I needed to get my release. 

""You'll get punished for this Valentina."" He held me in a way that I could not turn to face him, his voice was dark. 

""Then just punish me now, I don't mind and I won't regret it tomorrow."" I pleaded but I only heard him sigh. 

""I didn't want to do this."" He said in a low voice and my imagination bloomed...

***

Valentina is betrayed by her husband and her best friend, she finds out their dirty plan and how oblivious she had been for the past three years of her life. Her life is ruined, she is completely destroyed and left with no other option, she seeks solace from the forbidden source – The deadly Mafia Lord. She would do anything to make them have a taste of their medicine. 
",2,ct-v1-mafia|mafia|黑帮|Mafia ;; ct-v1-regret|regret|追悔|regret
nrv_193d95fb9973b29d0955c542,"[""RAW_LANGUAGE_SCOPE_V1"",""[\""number\"",\""5\""]"",[""string"",""葡语""]]",Por baixo da sua máscara feia,"Elliana era a filha feia e desprezada da família, enquanto sua meia-irmã, Paige, era admirada por todos e estava prestes a se casar com Cole, um CEO. 

Para surpresa de todos, no dia de casamento, foi Elliana quem subiu no altar. 

Enquanto todos se perguntavam por que a mulher feia foi escolhida, Elliana os surpreendeu ao revelar suas verdadeiras identidades: magnata das finanças, médica lendária, especialista da IA... 

Mais tarde, Cole postou uma foto impressionante de Elliana sem maquiagem. ""Minha esposa não precisa da aprovação de ninguém.""",1,ct-v1-wealthy-ceo|wealthy-ceo|豪门总裁|CEO
