stable_id,slug,中文名,定义,aliases,keywords,include,exclude,facet,status,source_ordinals,decision_ids
ct-v1-criminal-investigation,criminal-investigation,刑事侦查,用于检索以“刑事侦查”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""criminal-investigation"",""Criminal Investigation""]","[""刑事侦查"",""criminal-investigation"",""Criminal Investigation""]","[""主线明确体现“刑事侦查”（来源别名：Criminal Investigation）的作品。""]","[""仅在标题或简介中偶然提及“刑事侦查”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[18],[]
ct-v1-cross-dressing,cross-dressing,异装,用于检索以“异装”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""cross-dressing"",""Cross-dressing""]","[""异装"",""cross-dressing"",""Cross-dressing""]","[""主线明确体现“异装”（来源别名：Cross-dressing）的作品。""]","[""仅在标题或简介中偶然提及“异装”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[104],[]
ct-v1-crown-prince,crown-prince,太子,用于检索以“太子”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""crown-prince"",""Crown Prince""]","[""太子"",""crown-prince"",""Crown Prince""]","[""主线明确体现“太子”（来源别名：Crown Prince）的作品。""]","[""仅在标题或简介中偶然提及“太子”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[46],[]
ct-v1-disability,disability,残障角色,用于检索以“残障角色”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""disability"",""Disability""]","[""残障角色"",""disability"",""Disability""]","[""主线明确体现“残障角色”（来源别名：Disability）的作品。""]","[""仅在标题或简介中偶然提及“残障角色”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[115],[]
ct-v1-divorce,divorce,离婚,用于检索以“离婚”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""divorce"",""Divorce""]","[""离婚"",""divorce"",""Divorce""]","[""主线明确体现“离婚”（来源别名：Divorce）的作品。""]","[""仅在标题或简介中偶然提及“离婚”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[110],[]
ct-v1-doctor,doctor,医生,用于检索以“医生”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""doctor"",""Doctor""]","[""医生"",""doctor"",""Doctor""]","[""主线明确体现“医生”（来源别名：Doctor）的作品。""]","[""仅在标题或简介中偶然提及“医生”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[98],[]
ct-v1-eastern-fantasy,eastern-fantasy,东方奇幻,用于检索以“东方奇幻”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""oriental-fantasy"",""Oriental Fantasy""]","[""东方奇幻"",""oriental-fantasy"",""Oriental Fantasy""]","[""主线明确体现“东方奇幻”（来源别名：Oriental Fantasy）的作品。""]","[""仅在标题或简介中偶然提及“东方奇幻”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[109],[]
ct-v1-emotional-healing,emotional-healing,情感治愈,用于检索以“情感治愈”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""healing"",""Healing""]","[""情感治愈"",""healing"",""Healing""]","[""主线明确体现“情感治愈”（来源别名：Healing）的作品。""]","[""仅在标题或简介中偶然提及“情感治愈”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[96],[]
ct-v1-emperor,emperor,皇帝,用于检索以“皇帝”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""emperor"",""Emperor""]","[""皇帝"",""emperor"",""Emperor""]","[""主线明确体现“皇帝”（来源别名：Emperor）的作品。""]","[""仅在标题或简介中偶然提及“皇帝”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[92],[]
ct-v1-ensemble-darling,ensemble-darling,团宠,用于检索以“团宠”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""group-favorite"",""Group Favorite""]","[""团宠"",""group-favorite"",""Group Favorite""]","[""主线明确体现“团宠”（来源别名：Group Favorite）的作品。""]","[""仅在标题或简介中偶然提及“团宠”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[78],[]
ct-v1-entertainment-industry,entertainment-industry,娱乐圈,用于检索以“娱乐圈”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""celebrity"",""Celebrity"",""showbiz"",""Showbiz"",""actor"",""Actor""]","[""娱乐圈"",""celebrity"",""Celebrity"",""showbiz"",""Showbiz"",""actor"",""Actor""]","[""主线明确体现“娱乐圈”（来源别名：Celebrity / Showbiz / Actor）的作品。""]","[""仅在标题或简介中偶然提及“娱乐圈”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[23,87,147]","[""OC-MRG-05""]"
ct-v1-estrangement,estrangement,关系疏离,用于检索以“关系疏离”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""estrangement"",""Estrangement""]","[""关系疏离"",""estrangement"",""Estrangement""]","[""主线明确体现“关系疏离”（来源别名：Estrangement）的作品。""]","[""仅在标题或简介中偶然提及“关系疏离”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[68],[]
ct-v1-family,family,家庭,用于检索以“家庭”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""family"",""Family""]","[""家庭"",""family"",""Family""]","[""主线明确体现“家庭”（来源别名：Family）的作品。""]","[""仅在标题或简介中偶然提及“家庭”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[51],[]
ct-v1-family-feud,family-feud,家族纷争,用于检索以“家族纷争”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""family-feud"",""Family Feud""]","[""家族纷争"",""family-feud"",""Family Feud""]","[""主线明确体现“家族纷争”（来源别名：Family Feud）的作品。""]","[""仅在标题或简介中偶然提及“家族纷争”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[61],[]
ct-v1-fantasy,fantasy,奇幻,用于检索以“奇幻”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""fantasy"",""Fantasy""]","[""奇幻"",""fantasy"",""Fantasy""]","[""主线明确体现“奇幻”（来源别名：Fantasy）的作品。""]","[""仅在标题或简介中偶然提及“奇幻”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[33],[]
ct-v1-fated-love,fated-love,命定之爱,用于检索以“命定之爱”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""fated-love"",""Fated Love"",""soulmates"",""Soulmates""]","[""命定之爱"",""fated-love"",""Fated Love"",""soulmates"",""Soulmates""]","[""主线明确体现“命定之爱”（来源别名：Fated Love / Soulmates）的作品。""]","[""仅在标题或简介中偶然提及“命定之爱”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[4,58]","[""OC-MRG-04""]"
ct-v1-female-audience,female-audience,女性向,用于检索以“女性向”为核心audience 筛选属性的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""female-centric"",""Female-Centric""]","[""女性向"",""female-centric"",""Female-Centric""]","[""主线明确体现“女性向”（来源别名：Female-Centric）的作品。""]","[""仅在标题或简介中偶然提及“女性向”、但不影响主要情节或筛选期待的作品。""]",audience,candidate,[127],[]
ct-v1-first-love,first-love,初恋,用于检索以“初恋”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""first-love"",""First Love""]","[""初恋"",""first-love"",""First Love""]","[""主线明确体现“初恋”（来源别名：First Love）的作品。""]","[""仅在标题或简介中偶然提及“初恋”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[55],[]
ct-v1-forbidden-love,forbidden-love,禁忌之恋,用于检索以“禁忌之恋”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""forbidden-love"",""Forbidden Love""]","[""禁忌之恋"",""forbidden-love"",""Forbidden Love""]","[""主线明确体现“禁忌之恋”（来源别名：Forbidden Love）的作品。""]","[""仅在标题或简介中偶然提及“禁忌之恋”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[35],[]
ct-v1-frenemies,frenemies,亦敌亦友,用于检索以“亦敌亦友”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""frenemies"",""Frenemies""]","[""亦敌亦友"",""frenemies"",""Frenemies""]","[""主线明确体现“亦敌亦友”（来源别名：Frenemies）的作品。""]","[""仅在标题或简介中偶然提及“亦敌亦友”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[24],[]
ct-v1-from-hate-to-love,from-hate-to-love,由恨生爱,用于检索以“由恨生爱”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""from-hate-to-love"",""From Hate to Love""]","[""由恨生爱"",""from-hate-to-love"",""From Hate to Love""]","[""主线明确体现“由恨生爱”（来源别名：From Hate to Love）的作品。""]","[""仅在标题或简介中偶然提及“由恨生爱”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[34],[]
ct-v1-from-love-to-hate,from-love-to-hate,由爱生恨,用于检索以“由爱生恨”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""from-love-to-hate"",""From Love to Hate""]","[""由爱生恨"",""from-love-to-hate"",""From Love to Hate""]","[""主线明确体现“由爱生恨”（来源别名：From Love to Hate）的作品。""]","[""仅在标题或简介中偶然提及“由爱生恨”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[27],[]
ct-v1-future-world,future-world,未来世界,检索主要故事世界处于相对叙事当下的未来时期，未来社会或未来环境是核心设定的小说。,"[""future-world"",""Future World""]","[""未来世界"",""future-world"",""Future World""]","[""主要情节持续发生在未来社会、未来地球或未来文明。""]","[""角色仅来自未来、但主体故事发生在古代或当代的作品；未明确未来设定的当代科幻。""]",topic,human_review,[44],"[""OC-REV-02""]"
ct-v1-genius,genius,天才,用于检索以“天才”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""genius"",""Genius""]","[""天才"",""genius"",""Genius""]","[""主线明确体现“天才”（来源别名：Genius）的作品。""]","[""仅在标题或简介中偶然提及“天才”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[66],[]
ct-v1-gradually-fall-in-love,gradually-fall-in-love,日久生情,用于检索以“日久生情”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""gradually-fall-in-love"",""Gradually Fall In Love""]","[""日久生情"",""gradually-fall-in-love"",""Gradually Fall In Love""]","[""主线明确体现“日久生情”（来源别名：Gradually Fall In Love）的作品。""]","[""仅在标题或简介中偶然提及“日久生情”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[36],[]
ct-v1-happy-ending,happy-ending,圆满结局,用于检索以“圆满结局”为核心ending 筛选属性的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""he"",""HE""]","[""圆满结局"",""he"",""HE""]","[""主线明确体现“圆满结局”（来源别名：HE）的作品。""]","[""仅在标题或简介中偶然提及“圆满结局”、但不影响主要情节或筛选期待的作品。""]",ending,candidate,[141],[]
ct-v1-heir,heir,继承人,用于检索以“继承人”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""heir"",""Heir""]","[""继承人"",""heir"",""Heir""]","[""主线明确体现“继承人”（来源别名：Heir）的作品。""]","[""仅在标题或简介中偶然提及“继承人”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[116],"[""OC-SEP-09""]"
ct-v1-hidden-identity,hidden-identity,隐藏身份,用于检索以“隐藏身份”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""hidden-identity"",""Hidden Identity"",""hidden-identities"",""Hidden Identities""]","[""隐藏身份"",""hidden-identity"",""Hidden Identity"",""hidden-identities"",""Hidden Identities""]","[""主线明确体现“隐藏身份”（来源别名：Hidden Identity / Hidden Identities）的作品。""]","[""仅在标题或简介中偶然提及“隐藏身份”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[1,131]","[""OC-SEP-07""]"
ct-v1-historical-romance,historical-romance,古代言情,用于检索以“古代言情”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""historical-romance"",""Historical Romance"",""period-romance"",""Period Romance""]","[""古代言情"",""historical-romance"",""Historical Romance"",""period-romance"",""Period Romance""]","[""主线明确体现“古代言情”（来源别名：Historical Romance / Period Romance）的作品。""]","[""仅在标题或简介中偶然提及“古代言情”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[32,144]",[]
ct-v1-identity-swap,identity-swap,身份互换,用于检索以“身份互换”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""ldentity-swap"",""Ldentity Swap""]","[""身份互换"",""ldentity-swap"",""Ldentity Swap""]","[""主线明确体现“身份互换”（来源别名：Ldentity Swap）的作品。""]","[""仅在标题或简介中偶然提及“身份互换”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[149],"[""OC-SEP-07""]"
ct-v1-impostor,impostor,冒名者,用于检索以“冒名者”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""impostor"",""Impostor""]","[""冒名者"",""impostor"",""Impostor""]","[""主线明确体现“冒名者”（来源别名：Impostor）的作品。""]","[""仅在标题或简介中偶然提及“冒名者”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[77],"[""OC-SEP-07""]"
ct-v1-kidnapping,kidnapping,绑架,用于检索以“绑架”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""kidnapping"",""Kidnapping""]","[""绑架"",""kidnapping"",""Kidnapping""]","[""主线明确体现“绑架”（来源别名：Kidnapping）的作品。""]","[""仅在标题或简介中偶然提及“绑架”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[37],[]
ct-v1-kung-fu,kung-fu,功夫,用于检索以“功夫”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""kung-fu"",""Kung Fu""]","[""功夫"",""kung-fu"",""Kung Fu""]","[""主线明确体现“功夫”（来源别名：Kung Fu）的作品。""]","[""仅在标题或简介中偶然提及“功夫”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[57],[]
ct-v1-lawyer,lawyer,律师,用于检索以“律师”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""lawyer"",""Lawyer""]","[""律师"",""lawyer"",""Lawyer""]","[""主线明确体现“律师”（来源别名：Lawyer）的作品。""]","[""仅在标题或简介中偶然提及“律师”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[69],[]
ct-v1-legitimate-daughter,legitimate-daughter,嫡女,用于检索以“嫡女”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""legitimate-daughter"",""Legitimate daughter""]","[""嫡女"",""legitimate-daughter"",""Legitimate daughter""]","[""主线明确体现“嫡女”（来源别名：Legitimate daughter）的作品。""]","[""仅在标题或简介中偶然提及“嫡女”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[148],[]
ct-v1-love-after-marriage,love-after-marriage,先婚后爱,用于检索以“先婚后爱”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""love-after-marriage"",""Love After Marriage""]","[""先婚后爱"",""love-after-marriage"",""Love After Marriage""]","[""主线明确体现“先婚后爱”（来源别名：Love After Marriage）的作品。""]","[""仅在标题或简介中偶然提及“先婚后爱”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[75],"[""OC-SEP-05""]"
ct-v1-love-at-first-sight,love-at-first-sight,一见钟情,用于检索以“一见钟情”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""love-at-first-sight"",""Love at First Sight""]","[""一见钟情"",""love-at-first-sight"",""Love at First Sight""]","[""主线明确体现“一见钟情”（来源别名：Love at First Sight）的作品。""]","[""仅在标题或简介中偶然提及“一见钟情”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[53],[]
ct-v1-love-triangle,love-triangle,三角恋,用于检索以“三角恋”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""love-triangle"",""Love triangle""]","[""三角恋"",""love-triangle"",""Love triangle""]","[""主线明确体现“三角恋”（来源别名：Love triangle）的作品。""]","[""仅在标题或简介中偶然提及“三角恋”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[120],[]
ct-v1-mafia,mafia,黑帮,用于检索以“黑帮”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""mafia"",""Mafia""]","[""黑帮"",""mafia"",""Mafia""]","[""主线明确体现“黑帮”（来源别名：Mafia）的作品。""]","[""仅在标题或简介中偶然提及“黑帮”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[123],[]
ct-v1-maid,maid,女仆,用于检索以“女仆”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""maid"",""Maid""]","[""女仆"",""maid"",""Maid""]","[""主线明确体现“女仆”（来源别名：Maid）的作品。""]","[""仅在标题或简介中偶然提及“女仆”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,[114],[]
ct-v1-marriage,marriage,婚姻题材,用于检索以“婚姻题材”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""marriage"",""Marriage"",""marrige"",""Marrige""]","[""婚姻题材"",""marriage"",""Marriage"",""marrige"",""Marrige""]","[""主线明确体现“婚姻题材”（来源别名：Marriage / Marrige）的作品。""]","[""仅在标题或简介中偶然提及“婚姻题材”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[80,142]",[]
ct-v1-mature-content,mature-content,成人向内容,用于检索以“成人向内容”为核心maturity 筛选属性的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""erotic"",""Erotic""]","[""成人向内容"",""erotic"",""Erotic""]","[""主线明确体现“成人向内容”（来源别名：Erotic）的作品。""]","[""仅在标题或简介中偶然提及“成人向内容”、但不影响主要情节或筛选期待的作品。""]",maturity,candidate,[128],[]
ct-v1-military,military,军旅,用于检索以“军旅”为核心题材、设定或人物原型的小说；该概念必须对主线或用户选择结果具有实质影响。,"[""soldier"",""Soldier"",""military"",""Military""]","[""军旅"",""soldier"",""Soldier"",""military"",""Military""]","[""主线明确体现“军旅”（来源别名：Soldier / Military）的作品。""]","[""仅在标题或简介中偶然提及“军旅”、但不影响主要情节或筛选期待的作品。""]",topic,candidate,"[99,137]","[""OC-MRG-08"",""OC-SEP-10""]"
